Basket_Ratio,Note_Value,Delta_vs_Basket
0.6,7835243.400788988,35641.24356806238
0.62,8013241.538923673,34998.00876341292
0.64,8188104.720401071,34403.24789377893
0.66,8360168.588354172,33893.14608527132
0.68,8529948.393136343,33502.425938117776
0.7,8698126.337126616,33262.30236847758
0.72,8865529.508737672,33198.814142292234
0.74,9033100.567503262,33331.62645218765
0.76,9201863.667338911,33673.34009995262
0.78,9372888.15192644,34229.292059281666
0.8,9547252.375986518,34997.793309127315
0.82,9726009.663373716,35970.72421725309
0.84,9910157.973574946,37134.39483752212
0.86,10100614.372009221,38470.57540340061
0.88,10298194.93493429,39957.608534230385
0.9,10503600.301899895,41571.52653980073
0.92,10717406.739542715,43287.11222458738
0.94,10940062.31050426,45078.85767083225
0.96,11171887.551503442,46921.79103068879
0.98,11413079.9495137,48792.1552952975
1.0,11663721.454674022,50667.93469767905
1.02,11923788.270867094,52529.23358196109
1.04,12193162.207096428,54358.5192479309
1.06,12471642.942746015,56140.74466227255
1.08,12758960.646718282,57863.3693351146
1.1,13054788.485289248,59516.297463921735
1.12,13358754.649166586,61091.75202395083
1.14,13670453.6214113,62584.10218828133
1.16,13989456.490984555,63989.659600046165
1.18,14315320.189534739,65306.456851494135
1.2,14647595.590626627,66534.0192509023
1.22,14985834.460801821,67673.1387294512
1.24,15329595.29115453,68725.65666045116
1.26,15678448.067440677,69694.26049863198
1.28,16031978.057295194,70582.29753247398
1.3,16389788.70620837,71393.60768897168
1.32,16751503.740814738,72132.376231828
1.34,17116768.580022074,72803.00633332256
1.36,17485251.152692884,73410.0108523265
1.38,17856642.21598784,73957.9221879243
1.4,18230655.261948794,74451.2187706531
