Performance,Payoff_per_$1
0.4,0.6000000000000001
0.42,0.62
0.44,0.64
0.46,0.66
0.48,0.6799999999999999
0.5,0.7
0.52,0.72
0.54,0.74
0.56,0.76
0.58,0.78
0.6,0.8
0.62,0.8200000000000001
0.64,0.8400000000000001
0.66,0.8600000000000001
0.68,0.8800000000000001
0.7,0.8999999999999999
0.72,0.9199999999999999
0.74,0.94
0.76,0.96
0.78,0.98
0.8,1.0
0.82,1.0
0.84,1.0
0.86,1.0
0.88,1.0
0.9,1.0
0.92,1.0
0.94,1.0
0.96,1.0
0.98,1.0
1.0,1.0
1.02,1.04
1.04,1.08
1.06,1.12
1.08,1.1600000000000001
1.1,1.2000000000000002
1.12,1.2400000000000002
1.14,1.2799999999999998
1.16,1.3199999999999998
1.18,1.3599999999999999
1.2,1.4
1.22,1.44
1.24,1.48
1.26,1.52
1.28,1.56
1.3,1.6
1.32,1.6400000000000001
1.34,1.6800000000000002
1.36,1.7200000000000002
1.38,1.7599999999999998
1.4,1.7999999999999998
1.42,1.8399999999999999
1.44,1.88
1.46,1.92
1.48,1.96
1.5,2.0
1.52,2.04
1.54,2.08
1.56,2.12
1.58,2.16
1.6,2.2
