Performance,Terminal_Delta
0.4,1.0
0.42,1.0
0.44,1.0
0.46,1.0
0.48,1.0
0.5,1.0
0.52,1.0
0.54,1.0
0.56,1.0
0.58,1.0
0.6,1.0
0.62,1.0
0.64,1.0
0.66,1.0
0.68,1.0
0.7,1.0
0.72,1.0
0.74,1.0
0.76,1.0
0.78,1.0
0.8,0.0
0.82,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.94,0.0
0.96,0.0
0.98,0.0
1.0,2.0
1.02,2.0
1.04,2.0
1.06,2.0
1.08,2.0
1.1,2.0
1.12,2.0
1.14,2.0
1.16,2.0
1.18,2.0
1.2,2.0
1.22,2.0
1.24,2.0
1.26,2.0
1.28,2.0
1.3,2.0
1.32,2.0
1.34,2.0
1.36,2.0
1.38,2.0
1.4,2.0
1.42,2.0
1.44,2.0
1.46,2.0
1.48,2.0
1.5,2.0
1.52,2.0
1.54,2.0
1.56,2.0
1.58,2.0
1.6,2.0
